contig	cov_mean_sample_idba_ud_perc100_sorted
contig-100_15.6	10.805
contig-100_15.7	11.126
contig-100_15.8	12.638
contig-100_15.9	12.156
contig-100_15.10	13.121
contig-100_15.11	12.314
contig-100_15.12	10.777
contig-100_15.13	12.558
contig-100_15.14	10.179
contig-100_15.15	12.271
contig-100_15.16	11.879
contig-100_15.17	12.532
contig-100_15.18	11.056
contig-100_15.19	12.317
contig-100_15.20	12.517
contig-100_15.21	12.363
contig-100_15.22	10.874
contig-100_15.23	10.313
contig-100_15.24	12.553
contig-100_15.25	11.054
contig-100_16.0	10.671
contig-100_16.1	10.777
contig-100_16.2	11.594
contig-100_16.3	12.367
contig-100_16.4	10.691
contig-100_16.5	11.464
contig-100_16.6	11.623
contig-100_16.7	12.440
contig-100_16.8	12.177
contig-100_16.9	11.205
contig-100_16.10	12.582
contig-100_16.11	11.038
contig-100_16.12	12.575
contig-100_16.13	10.863
contig-100_16.14	11.483
contig-100_16.15	12.461
contig-100_16.16	12.449
contig-100_16.17	12.688
contig-100_16.18	11.835
contig-100_16.19	10.770
contig-100_16.20	13.115
contig-100_16.21	11.399
contig-100_16.22	10.971
contig-100_16.23	12.973
contig-100_16.24	12.927
contig-100_16.25	13.268
contig-100_17.0	16.091
contig-100_17.1	17.682
contig-100_17.2	16.016
contig-100_17.3	16.779
contig-100_17.4	15.234
contig-100_17.5	15.480
contig-100_17.6	16.687
contig-100_17.7	15.442
contig-100_17.8	17.078
contig-100_17.9	15.747
contig-100_17.10	16.557
contig-100_17.11	17.501
contig-100_17.12	16.794
contig-100_17.13	17.474
contig-100_17.14	15.381
contig-100_17.15	16.649
contig-100_17.16	14.729
contig-100_17.17	17.710
contig-100_17.18	17.543
contig-100_17.19	14.812
contig-100_17.20	15.924
contig-100_17.21	16.529
contig-100_17.22	18.119
contig-100_17.23	17.200
contig-100_17.24	16.418
contig-100_18.0	27.250
contig-100_18.1	26.786
contig-100_18.2	26.664
contig-100_18.3	23.695
contig-100_18.4	26.826
contig-100_18.5	23.504
contig-100_18.6	25.186
contig-100_18.7	26.963
contig-100_18.8	26.536
contig-100_18.9	28.218
contig-100_18.10	28.098
contig-100_18.11	26.795
contig-100_18.12	26.904
contig-100_18.13	25.487
contig-100_18.14	27.252
contig-100_18.15	24.266
contig-100_18.16	26.215
contig-100_18.17	26.141
contig-100_18.18	24.403
contig-100_18.19	25.777
contig-100_18.20	26.666
contig-100_18.21	25.796
contig-100_18.22	25.426
contig-100_18.23	25.605
contig-100_18.24	26.671
contig-100_19.0	28.813
contig-100_19.1	28.855
contig-100_19.2	30.763
contig-100_19.3	26.565
contig-100_19.4	28.075
contig-100_19.5	28.072
contig-100_19.6	29.494
contig-100_19.7	30.062
contig-100_19.8	29.115
contig-100_19.9	27.677
contig-100_19.10	28.620
contig-100_19.11	27.640
contig-100_19.12	27.180
contig-100_19.13	28.091
contig-100_19.14	28.109
contig-100_19.15	28.814
contig-100_19.16	28.758
contig-100_19.17	29.148
contig-100_19.18	29.858
contig-100_19.19	29.151
contig-100_19.20	27.800
contig-100_19.21	28.817
contig-100_19.22	27.906
contig-100_19.23	28.703
contig-100_20.0	16.860
contig-100_20.1	18.314
contig-100_20.2	14.486
contig-100_20.3	17.631
contig-100_20.4	17.512
contig-100_20.5	19.368
contig-100_20.6	18.006
contig-100_20.7	16.375
contig-100_20.8	16.812
contig-100_20.9	17.218
contig-100_20.10	17.272
contig-100_20.11	17.744
contig-100_20.12	15.664
contig-100_20.13	16.029
contig-100_20.14	15.379
contig-100_20.15	17.257
contig-100_20.16	16.727
contig-100_20.17	17.425
contig-100_20.18	15.801
contig-100_20.19	15.160
contig-100_20.20	17.281
contig-100_20.21	17.074
contig-100_20.22	16.924
contig-100_20.23	16.679
contig-100_21.0	15.193
contig-100_21.1	16.937
contig-100_21.2	15.558
contig-100_21.3	17.968
contig-100_21.4	15.816
contig-100_21.5	15.620
contig-100_21.6	17.131
contig-100_21.7	17.244
contig-100_21.8	16.433
contig-100_21.9	16.718
contig-100_21.10	15.866
contig-100_21.11	15.818
contig-100_21.12	16.022
contig-100_21.13	16.945
contig-100_21.14	17.641
contig-100_21.15	16.626
contig-100_21.16	17.849
contig-100_21.17	16.669
contig-100_21.18	18.153
contig-100_21.19	15.644
contig-100_21.20	15.491
contig-100_21.21	17.049
contig-100_22.0	12.272
contig-100_22.1	11.378
contig-100_22.2	11.466
contig-100_22.3	11.206
contig-100_22.4	11.846
contig-100_22.5	11.257
contig-100_22.6	12.137
contig-100_22.7	11.670
contig-100_22.8	11.970
contig-100_22.9	10.764
contig-100_22.10	12.830
contig-100_22.11	12.231
contig-100_22.12	12.065
contig-100_22.13	11.856
contig-100_22.14	11.943
contig-100_22.15	12.065
contig-100_22.16	12.931
contig-100_22.17	11.045
contig-100_22.18	11.285
contig-100_22.19	10.890
contig-100_22.20	10.968
contig-100_22.21	12.046
contig-100_23.0	17.311
contig-100_23.1	18.023
contig-100_23.2	16.219
contig-100_23.3	17.447
contig-100_23.4	15.777
contig-100_23.5	16.664
contig-100_23.6	16.195
contig-100_23.7	17.283
contig-100_23.8	17.238
contig-100_23.9	16.874
contig-100_23.10	16.192
contig-100_23.11	17.236
contig-100_23.12	17.024
contig-100_23.13	17.482
contig-100_23.14	17.415
contig-100_23.15	17.181
contig-100_23.16	16.568
contig-100_23.17	16.467
contig-100_23.18	17.384
contig-100_23.19	16.635
contig-100_23.20	17.275
contig-100_23.21	15.472
contig-100_24.0	24.376
contig-100_24.1	26.374
contig-100_24.2	27.395
contig-100_24.3	26.090
contig-100_24.4	25.008
contig-100_24.5	25.323
contig-100_24.6	24.976
contig-100_24.7	23.596
contig-100_24.8	27.734
contig-100_24.9	26.079
contig-100_24.10	26.835
contig-100_24.11	25.042
contig-100_24.12	25.987
contig-100_24.13	27.259
contig-100_24.14	26.218
contig-100_24.15	27.107
contig-100_24.16	27.043
contig-100_24.17	25.605
contig-100_24.18	25.442
contig-100_24.19	27.360
contig-100_24.20	27.275
contig-100_25.0	11.095
contig-100_25.1	13.525
contig-100_25.2	10.954
contig-100_25.3	11.502
contig-100_25.4	12.005
contig-100_25.5	11.809
contig-100_25.6	11.969
contig-100_25.7	12.410
contig-100_25.8	13.157
contig-100_25.9	12.927
contig-100_25.10	13.084
contig-100_25.11	12.408
contig-100_25.12	12.478
contig-100_25.13	11.772
contig-100_25.14	12.140
contig-100_25.15	12.175
contig-100_25.16	11.875
contig-100_25.17	11.798
contig-100_25.18	10.766
contig-100_25.19	13.481
contig-100_25.20	13.381
contig-100_26.0	16.587
contig-100_26.1	16.573
contig-100_26.2	16.618
contig-100_26.3	16.433
contig-100_26.4	17.598
contig-100_26.5	16.931
contig-100_26.6	16.064
contig-100_26.7	17.102
contig-100_26.8	15.704
contig-100_26.9	17.399
contig-100_26.10	16.730
contig-100_26.11	18.291
contig-100_26.12	16.857
contig-100_26.13	19.607
contig-100_26.14	16.961
contig-100_26.15	16.870
contig-100_26.16	17.332
contig-100_26.17	15.337
contig-100_26.18	16.547
contig-100_26.19	17.531
contig-100_26.20	17.524
contig-100_27.0	27.853
contig-100_27.1	25.690
contig-100_27.2	23.941
contig-100_27.3	26.145
contig-100_27.4	26.491
contig-100_27.5	24.957
contig-100_27.6	27.146
contig-100_27.7	27.397
contig-100_27.8	26.505
contig-100_27.9	24.896
contig-100_27.10	26.139
contig-100_27.11	27.401
contig-100_27.12	27.671
contig-100_27.13	26.051
contig-100_27.14	24.782
contig-100_27.15	27.477
contig-100_27.16	27.932
contig-100_27.17	27.242
contig-100_27.18	25.003
contig-100_27.19	25.088
contig-100_28.0	28.097
contig-100_28.1	29.154
contig-100_28.2	26.146
contig-100_28.3	30.612
contig-100_28.4	26.954
contig-100_28.5	31.121
contig-100_28.6	27.751
contig-100_28.7	28.926
contig-100_28.8	27.515
contig-100_28.9	27.818
contig-100_28.10	28.115
contig-100_28.11	27.701
contig-100_28.12	27.265
contig-100_28.13	29.065
contig-100_28.14	31.238
contig-100_28.15	29.499
contig-100_28.16	30.562
contig-100_28.17	28.718
contig-100_28.18	27.124
contig-100_29.0	25.441
contig-100_29.1	26.631
contig-100_29.2	26.027
contig-100_29.3	26.455
contig-100_29.4	25.603
contig-100_29.5	25.301
contig-100_29.6	26.631
contig-100_29.7	24.399
contig-100_29.8	27.529
contig-100_29.9	25.924
contig-100_29.10	26.396
contig-100_29.11	26.279
contig-100_29.12	25.746
contig-100_29.13	25.503
contig-100_29.14	25.948
contig-100_29.15	27.370
contig-100_29.16	24.919
contig-100_29.17	28.725
contig-100_29.18	25.563
contig-100_30.0	11.281
contig-100_30.1	11.317
contig-100_30.2	11.094
contig-100_30.3	12.201
contig-100_30.4	13.104
