contig	cov_mean_sample_metaspades_perc100_sorted
NODE_4_length_676421_cov_238.222706.16	307.139
NODE_4_length_676421_cov_238.222706.17	311.247
NODE_4_length_676421_cov_238.222706.18	304.981
NODE_4_length_676421_cov_238.222706.19	306.742
NODE_4_length_676421_cov_238.222706.20	303.873
NODE_4_length_676421_cov_238.222706.21	308.890
NODE_4_length_676421_cov_238.222706.22	305.810
NODE_4_length_676421_cov_238.222706.23	304.718
NODE_4_length_676421_cov_238.222706.24	310.130
NODE_4_length_676421_cov_238.222706.25	304.379
NODE_4_length_676421_cov_238.222706.26	315.192
NODE_4_length_676421_cov_238.222706.27	303.008
NODE_4_length_676421_cov_238.222706.28	307.456
NODE_4_length_676421_cov_238.222706.29	304.527
NODE_4_length_676421_cov_238.222706.30	301.775
NODE_4_length_676421_cov_238.222706.31	302.650
NODE_4_length_676421_cov_238.222706.32	311.120
NODE_4_length_676421_cov_238.222706.33	302.990
NODE_4_length_676421_cov_238.222706.34	302.274
NODE_4_length_676421_cov_238.222706.35	298.020
NODE_4_length_676421_cov_238.222706.36	303.318
NODE_4_length_676421_cov_238.222706.37	308.534
NODE_4_length_676421_cov_238.222706.38	302.127
NODE_4_length_676421_cov_238.222706.39	308.250
NODE_4_length_676421_cov_238.222706.40	307.110
NODE_4_length_676421_cov_238.222706.41	309.642
NODE_4_length_676421_cov_238.222706.42	306.653
NODE_4_length_676421_cov_238.222706.43	304.379
NODE_4_length_676421_cov_238.222706.44	306.163
NODE_4_length_676421_cov_238.222706.45	309.237
NODE_4_length_676421_cov_238.222706.46	313.709
NODE_4_length_676421_cov_238.222706.47	301.246
NODE_4_length_676421_cov_238.222706.48	311.991
NODE_4_length_676421_cov_238.222706.49	310.203
NODE_4_length_676421_cov_238.222706.50	306.636
NODE_4_length_676421_cov_238.222706.51	299.031
NODE_4_length_676421_cov_238.222706.52	306.354
NODE_4_length_676421_cov_238.222706.53	305.429
NODE_4_length_676421_cov_238.222706.54	308.402
NODE_4_length_676421_cov_238.222706.55	311.828
NODE_4_length_676421_cov_238.222706.56	303.443
NODE_4_length_676421_cov_238.222706.57	301.352
NODE_4_length_676421_cov_238.222706.58	303.824
NODE_4_length_676421_cov_238.222706.59	315.478
NODE_4_length_676421_cov_238.222706.60	308.683
NODE_4_length_676421_cov_238.222706.61	311.216
NODE_4_length_676421_cov_238.222706.62	306.616
NODE_4_length_676421_cov_238.222706.63	306.205
NODE_4_length_676421_cov_238.222706.64	311.262
NODE_4_length_676421_cov_238.222706.65	308.242
NODE_4_length_676421_cov_238.222706.66	304.390
NODE_5_length_553228_cov_12.779018.0	17.894
NODE_5_length_553228_cov_12.779018.1	15.866
NODE_5_length_553228_cov_12.779018.2	16.726
NODE_5_length_553228_cov_12.779018.3	15.949
